cas1_rslt_velocity,cas1_rslt_length,cas2_rslt_velocity,cas2_rslt_length,cas3_rslt_velocity,cas3_rslt_length
0.000,0.00490,0.0000,0.00000,0.00000,0.000000
0.390,0.00520,-0.059,0.00030,-0.00162,0.000202
0.631,0.00539,-0.091,0.00049,0.00837,0.000525
1.080,0.00587,-0.149,0.00097,0.07050,0.000778
1.220,0.00607,-0.165,0.00117,0.17500,0.001110
1.510,0.00658,-0.177,0.00168,0.36800,0.001580
1.630,0.00685,-0.162,0.00195,0.47800,0.001820
1.700,0.00716,-0.1580,0.0020,0.57000,0.002020
1.710,0.00720,-0.1030,0.00252,0.80100,0.002520
1.720,0.00739,-0.00717,0.00303,0.93400,0.002830
1.710,0.00760,0.1310,0.00353,1.09000,0.003230
1.700,0.00777,0.3160,0.00404,1.19000,0.003530
1.610,0.00811,0.5520,0.00454,1.30000,0.004010
1.430,0.00851,0.8330,0.0050,1.35000,0.0043305
1.150,0.00896,1.220,0.00574,1.33000,0.004890
0.888,0.00927,1.390,0.00609,1.30000,0.005060
0.693,0.00947,1.480,0.00633,1.21000,0.005420
0.268,0.00987,1.540,0.00655,1.08000,0.005830
0.000,0.01010,1.590,0.00680,0.97900,0.006060
0.000,0.01010,1.610,0.00699,0.95700,0.006110
0.000,0.01010,1.590,0.00731,0.75000,0.006560
0.000,0.01010,1.540,0.00755,0.65500,0.006770
0.000,0.01010,1.480,0.00779,0.47100,0.007170
0.000,0.01010,1.390,0.00802,0.31100,0.007580
0.000,0.01010,1.220,0.00835,0.15100,0.008080
0.000,0.01010,1.140,0.00848,0.06350,0.008480
0.000,0.01010,1.030,0.00867,-0.00251,0.008980
0.000,0.01010,0.803,0.00899,-0.02370,0.009400
0.000,0.01010,0.209,0.00980,-0.02750,0.009620
0.000,0.01010,0.083,0.00998,-0.01350,0.009870
0.000,0.01010,0.000,0.01010,0.00000,0.010100
                                                                                                                                                                                  
                                                                                           
                                                                                            
                                                       
                                                                                            
                                                                                           
                                                                                            
                                                                                         
                                                                                          
                                                                                          
                                                                                            
                                                                                           
                                                                                          
                                                                                            
                                                                                           
                                                                                           
                                                                                            
                                                                                           
                                                                                            
                                                                                          
